ID_1	Id	Ph	P	K	Mg	Horiz_alt	Otief	Utief	Gskel_koernung	Gs_koernung	Ms_koernung	Fs_koernung	Gu_koernung	Mu_koernung	Fu_koernung	T_koernung	Bodenart_ka4_koernung	Ph 0.1 n cacl2
19	129	7.1	23.6	29	5.9	Ap	0	3	3.3	2.9	3.8	5	47.6	11.6	5.1	24	Lu	7.36
20	130	7	24.3	32	7.3	Ap	0	3	0.9	3.2	3.1	13.3	200	NA	5	16.7	Uls	7.02
21	131	6.8	20.1	27	6.8	Ap	0	3	1.7	10.2	5.5	31.9	27.8	7.5	4.2	12.9	Sl4	6.91
22	132	7.2	25	21	3	Ap	0	3	2.6	28.8	7.5	23.1	19.1	5.8	3.8	11.9	Sl3	7.29
23	133	7	20.5	18	4.1	Ap	0	3	6.6	21.2	6.9	40.2	14.8	2.9	3.1	10.9	Sl3	6.78
24	134	6.7	11.1	20	7	Ap	0	3	32.8	22.1	12.2	16.8	23.3	8.7	6.9	10	Sl3	6.35
25	135	7.1	7.6	17	-66	Ap	0	3	3.2	0.3	0.7	4.6	57.4	14.8	6.6	15.6	Ut3	7.49
26	136	6.2	5.9	22	8.7	Ap	0	3	0.6	0.8	1.7	6.8	51.5	15.9	7.2	16.1	Ut3	6.22
27	137	6.5	6.1	19	10.4	Ap	0	3	0.3	0.5	0.8	5.2	52.5	14.6	7.5	18.9	Ut4	6.8
28	138	7.2	8.5	16	7.5	Ap	0	3	0.2	0.4	1	6.7	46.1	17.5	8.6	19.7	Ut4	7.4
29	139	5.7	3.4	16	8.8	Ap	0	3	0.2	0.3	0.8	5.1	48.1	17.6	6.1	22	Ut4	5.16
30	140	6.1	3.6	14	8.2	Ap	0	3	0.2	0.5	0.8	4.7	53.1	13	6.6	21.3	Ut4	6.56
31	141	6.6	7	20	7.9	Ap	0	3	0.4	0.4	0.7	4.3	58.7	15.1	4.2	16.6	Ut3	7.46
32	142	7	11.4	18	5.6	Ap	0	3	0.3	1.4	1.9	11	47.1	15	4.9	18.7	Ut4	7.19
33	143	7.3	16.5	26	6.9	Ap	0	3	0.2	1.1	1.4	7.2	51.4	15.1	6.6	17.2	Ut4	7.41
34	144	7.4	13.7	18	8.8	Ap	0	3	0.2	0.8	1.1	5.2	50.7	14.5	6.8	20.9	Ut4	7.42
35	145	7.3	12.2	19	6.4	Ap	0	3	0.2	0.3	0.9	7.6	50.3	16.5	7.7	16.7	Ut3	7.46
36	146	7.1	11	24	7.5	Ap	0	3	11.1	2.8	2.8	16.8	30.4	9.3	8.5	29.4	Lt2	7.31
37	147	6.3	4.1	19	8.3	Ap	0	3	0.7	1.3	1.7	7.3	48.4	14.3	7.6	19.4	Ut4	6.51
38	148	-4.9	6.7	25	-25	Ap	0	3	5	2.7	2.9	13.6	43.7	11.7	7	18.4	Lu	4.93
39	149	7.2	7.7	29	6.2	Ap	0	3	15.9	7.8	5.7	14.6	300	12.2	9	24.7	Ls2	7.43
40	150	7.3	11.3	17	8.8	Ap	0	3	0.2	0.4	0.7	8.1	46.4	18.6	9.6	16.2	Ut3	7.33
41	151	7.2	13.7	21	10.2	Ap	0	3	0.1	0.7	1.3	5.7	47.6	18.7	6.2	19.8	Ut4	7.32
42	152	7.3	15.8	18	6.8	Ap	0	3	1.6	1	0.9	10.7	47.4	15.2	6.2	18.6	Ut4	7.44
43	153	7.3	13.5	18	11.3	Ap	0	3	0.1	0.3	1	7.3	60.1	10.4	5.6	15.3	Ut3	7.44
44	154	7.2	15	28	7.7	Ap	0	3	1.1	1.7	2	22	40.2	12.4	6.5	15.2	Uls	7.16
45	NA	6.8	11	23	8.5	Ap	0	3	1.2	1.3	1.5	15.5	40.9	15.1	6.6	19.1	Lu	6.44
46	156	6.4	21.8	29	8.4	Ap	0	3	9.2	2.5	2.8	15.6	42.6	15.1	6.6	14.8	Uls	6.37
47	157	5.6	6.4	20	NA	Ap	0	3	0.5	0.5	2.5	8.5	44.5	17.8	7.5	18.7	Ut4	5.01
48	158	7.1	11.4	18	8.7	Ap	0	3	13.8	1.1	1.2	40.8	28.7	7.8	4.7	15.7	Slu	7.39
49	159	7.2	14.6	22	7.1	Ap	0	3	0.1	0.4	0.9	7.4	49.5	15.3	7.5	19	Ut4	7.41
50	160	-0.6	19.1	20	8.1	Ap	0	3	1.2	0.7	0.9	10.3	54.6	11.9	8.1	13.5	Ut3	7.09
51	161	7.1	12.1	17	10.8	Ap	0	3	0.1	0.4	1	8.8	48.4	14.9	8.1	18.4	Ut4	7.18
52	162	7.3	14.2	18	7.5	Ap	0	3	5	1.3	2.1	18.2	43.7	12.3	4.6	17.8	Lu	7.41
53	163	7.3	18.2	17	8.6	Ap	0	3	1.6	1.4	1.6	19.6	36.1	12.7	4.8	23.8	Lu	7.43
54	164	7.3	25.5	20	8	Ap	0	3	1	1.4	1.2	9.7	52.4	12.3	5.5	17.5	Ut4	7.44
55	165	6.9	14.5	17	8.5	Ap	0	3	0.6	1.1	1.4	14.5	47.5	14.6	5	15.9	Ut3	6.06
56	166	7.2	21.2	19	6.2	Ap	0	3	1.3	1.3	1.8	15.1	50	12.5	4.4	14.9	Ut3	7.31
