Id;ID_1;;Ph;P;K;Mg;Horiz_alt;Otief;Utief;Gskel_koernung;Gs_koernung;Ms_koernung;Fs_koernung;Gu_koernung;Mu_koernung;Fu_koernung;T_koernung;Bodenart_ka4_koernung;Ph.1;X_coord;Y_coord
42;153;43;7.3;13.5;18;11.3;Ap;0;3;0.1;0.3;1;7.3;60.1;10.4;5.6;15.3;Ut3;7.44;4426881;5749397
43;154;44;7.2;15;28;7.7;Ap;0;3;1.1;1.7;2;22;40.2;12.4;6.5;15.2;Uls;7.16;4426941;5749277
44;156;46;6.4;21.8;29;8.4;Ap;0;3;9.2;2.5;2.8;15.6;42.6;15.1;6.6;14.8;Uls;6.37;4427115;5749038
45;157;47;5.6;6.4;20;7.586;Ap;0;3;0.5;0.5;2.5;8.5;44.5;17.8;7.5;18.7;Ut4;5.01;4427237;5748957
46;159;49;7.2;14.6;22;7.1;Ap;0;3;0.1;0.4;0.9;7.4;49.5;15.3;7.5;19;Ut4;7.41;4426762;5749297
47;160;50;0;19.1;20;8.1;Ap;0;3;1.2;0.7;0.9;10.3;54.6;11.9;8.1;13.5;Ut3;7.09;4426567;5749453
48;161;51;7.1;12.1;17;10.8;Ap;0;3;0.1;0.4;1;8.8;48.4;14.9;8.1;18.4;Ut4;7.18;4426632;5749287
49;162;52;7.3;14.2;18;7.5;Ap;0;3;5;1.3;2.1;18.2;43.7;12.3;4.6;17.8;Lu;7.41;4426676;5749108
50;163;53;7.3;18.2;17;8.6;Ap;0;3;1.6;1.4;1.6;19.6;36.1;12.7;4.8;23.8;Lu;7.43;4426481;5749154
51;164;54;7.3;25.5;20;8;Ap;0;3;1;1.4;1.2;9.7;52.4;12.3;5.5;17.5;Ut4;7.44;4426426;5749333
52;165;55;6.9;14.5;17;8.5;Ap;0;3;0.6;1.1;1.4;14.5;47.5;14.6;5;15.9;Ut3;6.06;4426255;5749196
53;166;56;7.2;21.2;19;6.2;Ap;0;3;1.3;1.3;1.8;15.1;50;12.5;4.4;14.9;Ut3;7.31;4426093;5749162
